CUR YYYY-MM-DD
SGD 1996-10-19
SGD 1996-10-20
SGD 1996-10-26
SGD 1996-10-27
SGD 1996-11-02
SGD 1996-11-03
SGD 1996-11-09
SGD 1996-11-10
SGD 1996-11-16
SGD 1996-11-17
SGD 1996-11-23
SGD 1996-11-24
SGD 1996-11-30
SGD 1996-12-01
SGD 1996-12-07
SGD 1996-12-08
SGD 1996-12-14
SGD 1996-12-15
SGD 1996-12-21
SGD 1996-12-22
SGD 1996-12-28
SGD 1996-12-29
SGD 1997-01-04
SGD 1997-01-05
SGD 1997-01-11
SGD 1997-01-12
SGD 1997-01-18
SGD 1997-01-19
SGD 1997-01-25
SGD 1997-01-26
SGD 1997-02-01
SGD 1997-02-02
SGD 1997-02-08
SGD 1997-02-09
SGD 1997-02-15
SGD 1997-02-16
SGD 1997-02-22
SGD 1997-02-23
SGD 1997-03-01
SGD 1997-03-02
SGD 1997-03-08
SGD 1997-03-09
SGD 1997-03-15
SGD 1997-03-16
SGD 1997-03-22
SGD 1997-03-23
SGD 1997-03-29
SGD 1997-03-30
SGD 1997-04-05
SGD 1997-04-06
SGD 1997-04-12
SGD 1997-04-13
SGD 1997-04-19
SGD 1997-04-20
SGD 1997-04-26
SGD 1997-04-27
SGD 1997-05-03
SGD 1997-05-04
SGD 1997-05-10
SGD 1997-05-11
SGD 1997-05-17
SGD 1997-05-18
SGD 1997-05-24
SGD 1997-05-25
SGD 1997-05-31
SGD 1997-06-01
SGD 1997-06-07
SGD 1997-06-08
SGD 1997-06-14
SGD 1997-06-15
SGD 1997-06-21
SGD 1997-06-22
SGD 1997-06-28
SGD 1997-06-29
SGD 1997-07-05
SGD 1997-07-06
SGD 1997-07-12
SGD 1997-07-13
SGD 1997-07-19
SGD 1997-07-20
SGD 1997-07-26
SGD 1997-07-27
SGD 1997-08-02
SGD 1997-08-03
SGD 1997-08-09
SGD 1997-08-10
SGD 1997-08-16
SGD 1997-08-17
SGD 1997-08-23
SGD 1997-08-24
SGD 1997-08-30
SGD 1997-08-31
SGD 1997-09-06
SGD 1997-09-07
SGD 1997-09-13
SGD 1997-09-14
SGD 1997-09-20
SGD 1997-09-21
SGD 1997-09-27
SGD 1997-09-28
SGD 1997-10-04
SGD 1997-10-05
SGD 1997-10-11
SGD 1997-10-12
SGD 1997-10-18
SGD 1997-10-19
SGD 1997-10-25
SGD 1997-10-26
SGD 1997-11-01
SGD 1997-11-02
SGD 1997-11-08
SGD 1997-11-09
SGD 1997-11-15
SGD 1997-11-16
SGD 1997-11-22
SGD 1997-11-23
SGD 1997-11-29
SGD 1997-11-30
SGD 1997-12-06
SGD 1997-12-07
SGD 1997-12-13
SGD 1997-12-14
SGD 1997-12-20
SGD 1997-12-21
SGD 1997-12-27
SGD 1997-12-28
SGD 1998-01-03
SGD 1998-01-04
SGD 1998-01-10
SGD 1998-01-11
SGD 1998-01-17
SGD 1998-01-18
SGD 1998-01-24
SGD 1998-01-25
SGD 1998-01-31
SGD 1998-02-01
SGD 1998-02-07
SGD 1998-02-08
SGD 1998-02-14
SGD 1998-02-15
SGD 1998-02-21
SGD 1998-02-22
SGD 1998-02-28
SGD 1998-03-01
SGD 1998-03-07
SGD 1998-03-08
SGD 1998-03-14
SGD 1998-03-15
SGD 1998-03-21
SGD 1998-03-22
SGD 1998-03-28
SGD 1998-03-29
SGD 1998-04-04
SGD 1998-04-05
SGD 1998-04-11
SGD 1998-04-12
SGD 1998-04-18
SGD 1998-04-19
SGD 1998-04-25
SGD 1998-04-26
SGD 1998-05-02
SGD 1998-05-03
SGD 1998-05-09
SGD 1998-05-10
SGD 1998-05-16
SGD 1998-05-17
SGD 1998-05-23
SGD 1998-05-24
SGD 1998-05-30
SGD 1998-05-31
SGD 1998-06-06
SGD 1998-06-07
SGD 1998-06-13
SGD 1998-06-14
SGD 1998-06-20
SGD 1998-06-21
SGD 1998-06-27
SGD 1998-06-28
SGD 1998-07-04
SGD 1998-07-05
SGD 1998-07-11
SGD 1998-07-12
SGD 1998-07-18
SGD 1998-07-19
SGD 1998-07-25
SGD 1998-07-26
SGD 1998-08-01
SGD 1998-08-02
SGD 1998-08-08
SGD 1998-08-09
SGD 1998-08-15
SGD 1998-08-16
SGD 1998-08-22
SGD 1998-08-23
SGD 1998-08-29
SGD 1998-08-30
SGD 1998-09-05
SGD 1998-09-06
SGD 1998-09-12
SGD 1998-09-13
SGD 1998-09-19
SGD 1998-09-20
SGD 1998-09-26
SGD 1998-09-27
SGD 1998-10-03
SGD 1998-10-04
SGD 1998-10-10
SGD 1998-10-11
SGD 1998-10-17
SGD 1998-10-18
SGD 1998-10-24
SGD 1998-10-25
SGD 1998-10-31
SGD 1998-11-01
SGD 1998-11-07
SGD 1998-11-08
SGD 1998-11-14
SGD 1998-11-15
SGD 1998-11-21
SGD 1998-11-22
SGD 1998-11-28
SGD 1998-11-29
SGD 1998-12-05
SGD 1998-12-06
SGD 1998-12-12
SGD 1998-12-13
SGD 1998-12-19
SGD 1998-12-20
SGD 1998-12-26
SGD 1998-12-27
SGD 1999-01-02
SGD 1999-01-03
SGD 1999-01-09
SGD 1999-01-10
SGD 1999-01-16
SGD 1999-01-17
SGD 1999-01-23
SGD 1999-01-24
SGD 1999-01-30
SGD 1999-01-31
SGD 1999-02-06
SGD 1999-02-07
SGD 1999-02-13
SGD 1999-02-14
SGD 1999-02-20
SGD 1999-02-21
SGD 1999-02-27
SGD 1999-02-28
SGD 1999-03-06
SGD 1999-03-07
SGD 1999-03-13
SGD 1999-03-14
SGD 1999-03-20
SGD 1999-03-21
SGD 1999-03-27
SGD 1999-03-28
SGD 1999-04-03
SGD 1999-04-04
SGD 1999-04-10
SGD 1999-04-11
SGD 1999-04-17
SGD 1999-04-18
SGD 1999-04-24
SGD 1999-04-25
SGD 1999-05-01
SGD 1999-05-02
SGD 1999-05-08
SGD 1999-05-09
SGD 1999-05-15
SGD 1999-05-16
SGD 1999-05-22
SGD 1999-05-23
SGD 1999-05-29
SGD 1999-05-30
SGD 1999-06-05
SGD 1999-06-06
SGD 1999-06-12
SGD 1999-06-13
SGD 1999-06-19
SGD 1999-06-20
SGD 1999-06-26
SGD 1999-06-27
SGD 1999-07-03
SGD 1999-07-04
SGD 1999-07-10
SGD 1999-07-11
SGD 1999-07-17
SGD 1999-07-18
SGD 1999-07-24
SGD 1999-07-25
SGD 1999-07-31
SGD 1999-08-01
SGD 1999-08-07
SGD 1999-08-08
SGD 1999-08-14
SGD 1999-08-15
SGD 1999-08-21
SGD 1999-08-22
SGD 1999-08-28
SGD 1999-08-29
SGD 1999-09-04
SGD 1999-09-05
SGD 1999-09-11
SGD 1999-09-12
SGD 1999-09-18
SGD 1999-09-19
SGD 1999-09-25
SGD 1999-09-26
SGD 1999-10-02
SGD 1999-10-03
SGD 1999-10-09
SGD 1999-10-10
SGD 1999-10-16
SGD 1999-10-17
SGD 1999-10-23
SGD 1999-10-24
SGD 1999-10-30
SGD 1999-10-31
SGD 1999-11-06
SGD 1999-11-07
SGD 1999-11-13
SGD 1999-11-14
SGD 1999-11-20
SGD 1999-11-21
SGD 1999-11-27
SGD 1999-11-28
SGD 1999-12-04
SGD 1999-12-05
SGD 1999-12-11
SGD 1999-12-12
SGD 1999-12-18
SGD 1999-12-19
SGD 1999-12-25
SGD 1999-12-26
SGD 2000-01-01
SGD 2000-01-02
SGD 2000-01-08
SGD 2000-01-09
SGD 2000-01-15
SGD 2000-01-16
SGD 2000-01-22
SGD 2000-01-23
SGD 2000-01-29
SGD 2000-01-30
SGD 2000-02-05
SGD 2000-02-06
SGD 2000-02-12
SGD 2000-02-13
SGD 2000-02-19
SGD 2000-02-20
SGD 2000-02-26
SGD 2000-02-27
SGD 2000-03-04
SGD 2000-03-05
SGD 2000-03-11
SGD 2000-03-12
SGD 2000-03-18
SGD 2000-03-19
SGD 2000-03-25
SGD 2000-03-26
SGD 2000-04-01
SGD 2000-04-02
SGD 2000-04-08
SGD 2000-04-09
SGD 2000-04-15
SGD 2000-04-16
SGD 2000-04-22
SGD 2000-04-23
SGD 2000-04-29
SGD 2000-04-30
SGD 2000-05-06
SGD 2000-05-07
SGD 2000-05-13
SGD 2000-05-14
SGD 2000-05-20
SGD 2000-05-21
SGD 2000-05-27
SGD 2000-05-28
SGD 2000-06-03
SGD 2000-06-04
SGD 2000-06-10
SGD 2000-06-11
SGD 2000-06-17
SGD 2000-06-18
SGD 2000-06-24
SGD 2000-06-25
SGD 2000-07-01
SGD 2000-07-02
SGD 2000-07-08
SGD 2000-07-09
SGD 2000-07-15
SGD 2000-07-16
SGD 2000-07-22
SGD 2000-07-23
SGD 2000-07-29
SGD 2000-07-30
SGD 2000-08-05
SGD 2000-08-06
SGD 2000-08-12
SGD 2000-08-13
SGD 2000-08-19
SGD 2000-08-20
SGD 2000-08-26
SGD 2000-08-27
SGD 2000-09-02
SGD 2000-09-03
SGD 2000-09-09
SGD 2000-09-10
SGD 2000-09-16
SGD 2000-09-17
SGD 2000-09-23
SGD 2000-09-24
SGD 2000-09-30
SGD 2000-10-01
SGD 2000-10-07
SGD 2000-10-08
SGD 2000-10-14
SGD 2000-10-15
SGD 2000-10-21
SGD 2000-10-22
SGD 2000-10-28
SGD 2000-10-29
SGD 2000-11-04
SGD 2000-11-05
SGD 2000-11-11
SGD 2000-11-12
SGD 2000-11-18
SGD 2000-11-19
SGD 2000-11-25
SGD 2000-11-26
SGD 2000-12-02
SGD 2000-12-03
SGD 2000-12-09
SGD 2000-12-10
SGD 2000-12-16
SGD 2000-12-17
SGD 2000-12-23
SGD 2000-12-24
SGD 2000-12-30
SGD 2000-12-31
SGD 2001-01-06
SGD 2001-01-07
SGD 2001-01-13
SGD 2001-01-14
SGD 2001-01-20
SGD 2001-01-21
SGD 2001-01-27
SGD 2001-01-28
SGD 2001-02-03
SGD 2001-02-04
SGD 2001-02-10
SGD 2001-02-11
SGD 2001-02-17
SGD 2001-02-18
SGD 2001-02-24
SGD 2001-02-25
SGD 2001-03-03
SGD 2001-03-04
SGD 2001-03-10
SGD 2001-03-11
SGD 2001-03-17
SGD 2001-03-18
SGD 2001-03-24
SGD 2001-03-25
SGD 2001-03-31
SGD 2001-04-01
SGD 2001-04-07
SGD 2001-04-08
SGD 2001-04-14
SGD 2001-04-15
SGD 2001-04-21
SGD 2001-04-22
SGD 2001-04-28
SGD 2001-04-29
SGD 2001-05-05
SGD 2001-05-06
SGD 2001-05-12
SGD 2001-05-13
SGD 2001-05-19
SGD 2001-05-20
SGD 2001-05-26
SGD 2001-05-27
SGD 2001-06-02
SGD 2001-06-03
SGD 2001-06-09
SGD 2001-06-10
SGD 2001-06-16
SGD 2001-06-17
SGD 2001-06-23
SGD 2001-06-24
SGD 2001-06-30
SGD 2001-07-01
SGD 2001-07-07
SGD 2001-07-08
SGD 2001-07-14
SGD 2001-07-15
SGD 2001-07-21
SGD 2001-07-22
SGD 2001-07-28
SGD 2001-07-29
SGD 2001-08-04
SGD 2001-08-05
SGD 2001-08-11
SGD 2001-08-12
SGD 2001-08-18
SGD 2001-08-19
SGD 2001-08-25
SGD 2001-08-26
SGD 2001-09-01
SGD 2001-09-02
SGD 2001-09-08
SGD 2001-09-09
SGD 2001-09-15
SGD 2001-09-16
SGD 2001-09-22
SGD 2001-09-23
SGD 2001-09-29
SGD 2001-09-30
SGD 2001-10-06
SGD 2001-10-07
SGD 2001-10-13
SGD 2001-10-14
SGD 2001-10-20
SGD 2001-10-21
SGD 2001-10-27
SGD 2001-10-28
SGD 2001-11-03
SGD 2001-11-04
SGD 2001-11-10
SGD 2001-11-11
SGD 2001-11-17
SGD 2001-11-18
SGD 2001-11-24
SGD 2001-11-25
SGD 2001-12-01
SGD 2001-12-02
SGD 2001-12-08
SGD 2001-12-09
SGD 2001-12-15
SGD 2001-12-16
SGD 2001-12-22
SGD 2001-12-23
SGD 2001-12-29
SGD 2001-12-30
SGD 2002-01-05
SGD 2002-01-06
SGD 2002-01-12
SGD 2002-01-13
SGD 2002-01-19
SGD 2002-01-20
SGD 2002-01-26
SGD 2002-01-27
SGD 2002-02-02
SGD 2002-02-03
SGD 2002-02-09
SGD 2002-02-10
SGD 2002-02-16
SGD 2002-02-17
SGD 2002-02-23
SGD 2002-02-24
SGD 2002-03-02
SGD 2002-03-03
SGD 2002-03-09
SGD 2002-03-10
SGD 2002-03-16
SGD 2002-03-17
SGD 2002-03-23
SGD 2002-03-24
SGD 2002-03-30
SGD 2002-03-31
SGD 2002-04-06
SGD 2002-04-07
SGD 2002-04-13
SGD 2002-04-14
SGD 2002-04-20
SGD 2002-04-21
SGD 2002-04-27
SGD 2002-04-28
SGD 2002-05-04
SGD 2002-05-05
SGD 2002-05-11
SGD 2002-05-12
SGD 2002-05-18
SGD 2002-05-19
SGD 2002-05-25
SGD 2002-05-26
SGD 2002-06-01
SGD 2002-06-02
SGD 2002-06-08
SGD 2002-06-09
SGD 2002-06-15
SGD 2002-06-16
SGD 2002-06-22
SGD 2002-06-23
SGD 2002-06-29
SGD 2002-06-30
SGD 2002-07-06
SGD 2002-07-07
SGD 2002-07-13
SGD 2002-07-14
SGD 2002-07-20
SGD 2002-07-21
SGD 2002-07-27
SGD 2002-07-28
SGD 2002-08-03
SGD 2002-08-04
SGD 2002-08-10
SGD 2002-08-11
SGD 2002-08-17
SGD 2002-08-18
SGD 2002-08-24
SGD 2002-08-25
SGD 2002-08-31
SGD 2002-09-01
SGD 2002-09-07
SGD 2002-09-08
SGD 2002-09-14
SGD 2002-09-15
SGD 2002-09-21
SGD 2002-09-22
SGD 2002-09-28
SGD 2002-09-29
SGD 2002-10-05
SGD 2002-10-06
SGD 2002-10-12
SGD 2002-10-13
SGD 2002-10-19
SGD 2002-10-20
SGD 2002-10-26
SGD 2002-10-27
SGD 2002-11-02
SGD 2002-11-03
SGD 2002-11-09
SGD 2002-11-10
SGD 2002-11-16
SGD 2002-11-17
SGD 2002-11-23
SGD 2002-11-24
SGD 2002-11-30
SGD 2002-12-01
SGD 2002-12-07
SGD 2002-12-08
SGD 2002-12-14
SGD 2002-12-15
SGD 2002-12-21
SGD 2002-12-22
SGD 2002-12-28
SGD 2002-12-29
SGD 2003-01-04
SGD 2003-01-05
SGD 2003-01-11
SGD 2003-01-12
SGD 2003-01-18
SGD 2003-01-19
SGD 2003-01-25
SGD 2003-01-26
SGD 2003-02-01
SGD 2003-02-02
SGD 2003-02-08
SGD 2003-02-09
SGD 2003-02-15
SGD 2003-02-16
SGD 2003-02-22
SGD 2003-02-23
SGD 2003-03-01
SGD 2003-03-02
SGD 2003-03-08
SGD 2003-03-09
SGD 2003-03-15
SGD 2003-03-16
SGD 2003-03-22
SGD 2003-03-23
SGD 2003-03-29
SGD 2003-03-30
SGD 2003-04-05
SGD 2003-04-06
SGD 2003-04-12
SGD 2003-04-13
SGD 2003-04-19
SGD 2003-04-20
SGD 2003-04-26
SGD 2003-04-27
SGD 2003-05-03
SGD 2003-05-04
SGD 2003-05-10
SGD 2003-05-11
SGD 2003-05-17
SGD 2003-05-18
SGD 2003-05-24
SGD 2003-05-25
SGD 2003-05-31
SGD 2003-06-01
SGD 2003-06-07
SGD 2003-06-08
SGD 2003-06-14
SGD 2003-06-15
SGD 2003-06-21
SGD 2003-06-22
SGD 2003-06-28
SGD 2003-06-29
SGD 2003-07-05
SGD 2003-07-06
SGD 2003-07-12
SGD 2003-07-13
SGD 2003-07-19
SGD 2003-07-20
SGD 2003-07-26
SGD 2003-07-27
SGD 2003-08-02
SGD 2003-08-03
SGD 2003-08-09
SGD 2003-08-10
SGD 2003-08-16
SGD 2003-08-17
SGD 2003-08-23
SGD 2003-08-24
SGD 2003-08-30
SGD 2003-08-31
SGD 2003-09-06
SGD 2003-09-07
SGD 2003-09-13
SGD 2003-09-14
SGD 2003-09-20
SGD 2003-09-21
SGD 2003-09-27
SGD 2003-09-28
SGD 2003-10-04
SGD 2003-10-05
SGD 2003-10-11
SGD 2003-10-12
SGD 2003-10-18
SGD 2003-10-19
SGD 2003-10-25
SGD 2003-10-26
SGD 2003-11-01
SGD 2003-11-02
SGD 2003-11-08
SGD 2003-11-09
SGD 2003-11-15
SGD 2003-11-16
SGD 2003-11-22
SGD 2003-11-23
SGD 2003-11-29
SGD 2003-11-30
SGD 2003-12-06
SGD 2003-12-07
SGD 2003-12-13
SGD 2003-12-14
SGD 2003-12-20
SGD 2003-12-21
SGD 2003-12-27
SGD 2003-12-28
SGD 2004-01-03
SGD 2004-01-04
SGD 2004-01-10
SGD 2004-01-11
SGD 2004-01-17
SGD 2004-01-18
SGD 2004-01-24
SGD 2004-01-25
SGD 2004-01-31
SGD 2004-02-01
SGD 2004-02-07
SGD 2004-02-08
SGD 2004-02-14
SGD 2004-02-15
SGD 2004-02-21
SGD 2004-02-22
SGD 2004-02-28
SGD 2004-02-29
SGD 2004-03-06
SGD 2004-03-07
SGD 2004-03-13
SGD 2004-03-14
SGD 2004-03-20
SGD 2004-03-21
SGD 2004-03-27
SGD 2004-03-28
SGD 2004-04-03
SGD 2004-04-04
SGD 2004-04-10
SGD 2004-04-11
SGD 2004-04-17
SGD 2004-04-18
SGD 2004-04-24
SGD 2004-04-25
SGD 2004-05-01
SGD 2004-05-02
SGD 2004-05-08
SGD 2004-05-09
SGD 2004-05-15
SGD 2004-05-16
SGD 2004-05-22
SGD 2004-05-23
SGD 2004-05-29
SGD 2004-05-30
SGD 2004-06-05
SGD 2004-06-06
SGD 2004-06-12
SGD 2004-06-13
SGD 2004-06-19
SGD 2004-06-20
SGD 2004-06-26
SGD 2004-06-27
SGD 2004-07-03
SGD 2004-07-04
SGD 2004-07-10
SGD 2004-07-11
SGD 2004-07-17
SGD 2004-07-18
SGD 2004-07-24
SGD 2004-07-25
SGD 2004-07-31
SGD 2004-08-01
SGD 2004-08-07
SGD 2004-08-08
SGD 2004-08-14
SGD 2004-08-15
SGD 2004-08-21
SGD 2004-08-22
SGD 2004-08-28
SGD 2004-08-29
SGD 2004-09-04
SGD 2004-09-05
SGD 2004-09-11
SGD 2004-09-12
SGD 2004-09-18
SGD 2004-09-19
SGD 2004-09-25
SGD 2004-09-26
SGD 2004-10-02
SGD 2004-10-03
SGD 2004-10-09
SGD 2004-10-10
SGD 2004-10-16
SGD 2004-10-17
SGD 2004-10-23
SGD 2004-10-24
SGD 2004-10-30
SGD 2004-10-31
SGD 2004-11-06
SGD 2004-11-07
SGD 2004-11-13
SGD 2004-11-14
SGD 2004-11-20
SGD 2004-11-21
SGD 2004-11-27
SGD 2004-11-28
SGD 2004-12-04
SGD 2004-12-05
SGD 2004-12-11
SGD 2004-12-12
SGD 2004-12-18
SGD 2004-12-19
SGD 2004-12-25
SGD 2004-12-26
SGD 2005-01-01
SGD 2005-01-02
SGD 2005-01-08
SGD 2005-01-09
SGD 2005-01-15
SGD 2005-01-16
SGD 2005-01-22
SGD 2005-01-23
SGD 2005-01-29
SGD 2005-01-30
SGD 2005-02-05
SGD 2005-02-06
SGD 2005-02-12
SGD 2005-02-13
SGD 2005-02-19
SGD 2005-02-20
SGD 2005-02-26
SGD 2005-02-27
SGD 2005-03-05
SGD 2005-03-06
SGD 2005-03-12
SGD 2005-03-13
SGD 2005-03-19
SGD 2005-03-20
SGD 2005-03-26
SGD 2005-03-27
SGD 2005-04-02
SGD 2005-04-03
SGD 2005-04-09
SGD 2005-04-10
SGD 2005-04-16
SGD 2005-04-17
SGD 2005-04-23
SGD 2005-04-24
SGD 2005-04-30
SGD 2005-05-01
SGD 2005-05-07
SGD 2005-05-08
SGD 2005-05-14
SGD 2005-05-15
SGD 2005-05-21
SGD 2005-05-22
SGD 2005-05-28
SGD 2005-05-29
SGD 2005-06-04
SGD 2005-06-05
SGD 2005-06-11
SGD 2005-06-12
SGD 2005-06-18
SGD 2005-06-19
SGD 2005-06-25
SGD 2005-06-26
SGD 2005-07-02
SGD 2005-07-03
SGD 2005-07-09
SGD 2005-07-10
SGD 2005-07-16
SGD 2005-07-17
SGD 2005-07-23
SGD 2005-07-24
SGD 2005-07-30
SGD 2005-07-31
SGD 2005-08-06
SGD 2005-08-07
SGD 2005-08-13
SGD 2005-08-14
SGD 2005-08-20
SGD 2005-08-21
SGD 2005-08-27
SGD 2005-08-28
SGD 2005-09-03
SGD 2005-09-04
SGD 2005-09-10
SGD 2005-09-11
SGD 2005-09-17
SGD 2005-09-18
SGD 2005-09-24
SGD 2005-09-25
SGD 2005-10-01
SGD 2005-10-02
SGD 2005-10-08
SGD 2005-10-09
SGD 2005-10-15
SGD 2005-10-16
SGD 2005-10-22
SGD 2005-10-23
SGD 2005-10-29
SGD 2005-10-30
SGD 2005-11-05
SGD 2005-11-06
SGD 2005-11-12
SGD 2005-11-13
SGD 2005-11-19
SGD 2005-11-20
SGD 2005-11-26
SGD 2005-11-27
SGD 2005-12-03
SGD 2005-12-04
SGD 2005-12-10
SGD 2005-12-11
SGD 2005-12-17
SGD 2005-12-18
SGD 2005-12-24
SGD 2005-12-25
SGD 2005-12-31
SGD 2006-01-01
SGD 2006-01-07
SGD 2006-01-08
SGD 2006-01-14
SGD 2006-01-15
SGD 2006-01-21
SGD 2006-01-22
SGD 2006-01-28
SGD 2006-01-29
SGD 2006-02-04
SGD 2006-02-05
SGD 2006-02-11
SGD 2006-02-12
SGD 2006-02-18
SGD 2006-02-19
SGD 2006-02-25
SGD 2006-02-26
SGD 2006-03-04
SGD 2006-03-05
SGD 2006-03-11
SGD 2006-03-12
SGD 2006-03-18
SGD 2006-03-19
SGD 2006-03-25
SGD 2006-03-26
SGD 2006-04-01
SGD 2006-04-02
SGD 2006-04-08
SGD 2006-04-09
SGD 2006-04-15
SGD 2006-04-16
SGD 2006-04-22
SGD 2006-04-23
SGD 2006-04-29
SGD 2006-04-30
SGD 2006-05-06
SGD 2006-05-07
SGD 2006-05-13
SGD 2006-05-14
SGD 2006-05-20
SGD 2006-05-21
SGD 2006-05-27
SGD 2006-05-28
SGD 2006-06-03
SGD 2006-06-04
SGD 2006-06-10
SGD 2006-06-11
SGD 2006-06-17
SGD 2006-06-18
SGD 2006-06-24
SGD 2006-06-25
SGD 2006-07-01
SGD 2006-07-02
SGD 2006-07-08
SGD 2006-07-09
SGD 2006-07-15
SGD 2006-07-16
SGD 2006-07-22
SGD 2006-07-23
SGD 2006-07-29
SGD 2006-07-30
SGD 2006-08-05
SGD 2006-08-06
SGD 2006-08-12
SGD 2006-08-13
SGD 2006-08-19
SGD 2006-08-20
SGD 2006-08-26
SGD 2006-08-27
SGD 2006-09-02
SGD 2006-09-03
SGD 2006-09-09
SGD 2006-09-10
SGD 2006-09-16
SGD 2006-09-17
SGD 2006-09-23
SGD 2006-09-24
SGD 2006-09-30
SGD 2006-10-01
SGD 2006-10-07
SGD 2006-10-08
SGD 2006-10-14
SGD 2006-10-15
SGD 2006-10-21
SGD 2006-10-22
SGD 2006-10-28
SGD 2006-10-29
SGD 2006-11-04
SGD 2006-11-05
SGD 2006-11-11
SGD 2006-11-12
SGD 2006-11-18
SGD 2006-11-19
SGD 2006-11-25
SGD 2006-11-26
SGD 2006-12-02
SGD 2006-12-03
SGD 2006-12-09
SGD 2006-12-10
SGD 2006-12-16
SGD 2006-12-17
SGD 2006-12-23
SGD 2006-12-24
SGD 2006-12-25
SGD 2006-12-30
SGD 2006-12-31
SGD 2007-01-01
SGD 2007-01-02
SGD 2007-01-06
SGD 2007-01-07
SGD 2007-01-13
SGD 2007-01-14
SGD 2007-01-20
SGD 2007-01-21
SGD 2007-01-27
SGD 2007-01-28
SGD 2007-02-03
SGD 2007-02-04
SGD 2007-02-10
SGD 2007-02-11
SGD 2007-02-17
SGD 2007-02-18
SGD 2007-02-19
SGD 2007-02-20
SGD 2007-02-24
SGD 2007-02-25
SGD 2007-03-03
SGD 2007-03-04
SGD 2007-03-10
SGD 2007-03-11
SGD 2007-03-17
SGD 2007-03-18
SGD 2007-03-24
SGD 2007-03-25
SGD 2007-03-31
SGD 2007-04-01
SGD 2007-04-06
SGD 2007-04-07
SGD 2007-04-08
SGD 2007-04-14
SGD 2007-04-15
SGD 2007-04-21
SGD 2007-04-22
SGD 2007-04-28
SGD 2007-04-29
SGD 2007-05-01
SGD 2007-05-05
SGD 2007-05-06
SGD 2007-05-12
SGD 2007-05-13
SGD 2007-05-19
SGD 2007-05-20
SGD 2007-05-26
SGD 2007-05-27
SGD 2007-05-31
SGD 2007-06-02
SGD 2007-06-03
SGD 2007-06-09
SGD 2007-06-10
SGD 2007-06-16
SGD 2007-06-17
SGD 2007-06-23
SGD 2007-06-24
SGD 2007-06-30
SGD 2007-07-01
SGD 2007-07-07
SGD 2007-07-08
SGD 2007-07-14
SGD 2007-07-15
SGD 2007-07-21
SGD 2007-07-22
SGD 2007-07-28
SGD 2007-07-29
SGD 2007-08-04
SGD 2007-08-05
SGD 2007-08-09
SGD 2007-08-11
SGD 2007-08-12
SGD 2007-08-18
SGD 2007-08-19
SGD 2007-08-25
SGD 2007-08-26
SGD 2007-09-01
SGD 2007-09-02
SGD 2007-09-08
SGD 2007-09-09
SGD 2007-09-15
SGD 2007-09-16
SGD 2007-09-22
SGD 2007-09-23
SGD 2007-09-29
SGD 2007-09-30
SGD 2007-10-06
SGD 2007-10-07
SGD 2007-10-13
SGD 2007-10-14
SGD 2007-10-20
SGD 2007-10-21
SGD 2007-10-27
SGD 2007-10-28
SGD 2007-11-03
SGD 2007-11-04
SGD 2007-11-08
SGD 2007-11-10
SGD 2007-11-11
SGD 2007-11-17
SGD 2007-11-18
SGD 2007-11-24
SGD 2007-11-25
SGD 2007-12-01
SGD 2007-12-02
SGD 2007-12-08
SGD 2007-12-09
SGD 2007-12-15
SGD 2007-12-16
SGD 2007-12-20
SGD 2007-12-22
SGD 2007-12-23
SGD 2007-12-25
SGD 2007-12-29
SGD 2007-12-30
SGD 2008-01-01
SGD 2008-01-05
SGD 2008-01-06
SGD 2008-01-12
SGD 2008-01-13
SGD 2008-01-19
SGD 2008-01-20
SGD 2008-01-26
SGD 2008-01-27
SGD 2008-02-02
SGD 2008-02-03
SGD 2008-02-07
SGD 2008-02-08
SGD 2008-02-09
SGD 2008-02-10
SGD 2008-02-16
SGD 2008-02-17
SGD 2008-02-23
SGD 2008-02-24
SGD 2008-03-01
SGD 2008-03-02
SGD 2008-03-08
SGD 2008-03-09
SGD 2008-03-15
SGD 2008-03-16
SGD 2008-03-21
SGD 2008-03-22
SGD 2008-03-23
SGD 2008-03-29
SGD 2008-03-30
SGD 2008-04-05
SGD 2008-04-06
SGD 2008-04-12
SGD 2008-04-13
SGD 2008-04-19
SGD 2008-04-20
SGD 2008-04-26
SGD 2008-04-27
SGD 2008-05-01
SGD 2008-05-03
SGD 2008-05-04
SGD 2008-05-10
SGD 2008-05-11
SGD 2008-05-17
SGD 2008-05-18
SGD 2008-05-19
SGD 2008-05-24
SGD 2008-05-25
SGD 2008-05-31
SGD 2008-06-01
SGD 2008-06-07
SGD 2008-06-08
SGD 2008-06-14
SGD 2008-06-15
SGD 2008-06-21
SGD 2008-06-22
SGD 2008-06-28
SGD 2008-06-29
SGD 2008-07-05
SGD 2008-07-06
SGD 2008-07-12
SGD 2008-07-13
SGD 2008-07-19
SGD 2008-07-20
SGD 2008-07-26
SGD 2008-07-27
SGD 2008-08-02
SGD 2008-08-03
SGD 2008-08-09
SGD 2008-08-10
SGD 2008-08-16
SGD 2008-08-17
SGD 2008-08-23
SGD 2008-08-24
SGD 2008-08-30
SGD 2008-08-31
SGD 2008-09-06
SGD 2008-09-07
SGD 2008-09-13
SGD 2008-09-14
SGD 2008-09-20
SGD 2008-09-21
SGD 2008-09-27
SGD 2008-09-28
SGD 2008-10-01
SGD 2008-10-04
SGD 2008-10-05
SGD 2008-10-11
SGD 2008-10-12
